,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54987,0.0,0.0,4.0,152.8066,byplayer,0.0,5.0,33.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,1840.7688,0.0,0.0,0.0,1498.823,0.0,1546.8271,4.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.96635914,3387.596,0.3125
55069,1.0,0.0,3.0,55.891487,byplayer,2.0,1.0,12.0,0.0,2.0,24.402124,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,7232.6123,0.0,0.0,0.0,1263.279,0.0,1159.5817,6.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.701432,8392.194,0.6875
55135,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,64.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,2987.4182,0.0,0.0,0.0,340.437,0.0,153.04976,2.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.18322767,3140.468,1.0
55175,1.0,1.0,3.0,265.83466,alive,0.0,2.0,9.0,0.0,2.0,34.07866,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,7892.7817,0.0,0.0,0.0,1848.238,0.0,528.1509,1.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,8420.933,0.0625
55259,4.0,0.0,5.0,598.6389,byplayer,0.0,1.0,3.0,0.0,4.0,294.79242,menteul,account.cf546ffbd7d642b4b98530c40d322633,1.0,6187.2793,0.0,0.0,0.0,1853.929,0.0,2153.6692,7.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.9887621,8340.948,0.0625
55441,0.0,0.0,2.0,162.77777,byplayer,0.0,3.0,49.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,4891.189,0.0,0.0,0.0,1262.716,0.0,926.7942,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7265339,5817.9834,0.625
55504,1.0,0.0,3.0,406.69073,byplayer,0.0,1.0,11.0,0.0,2.0,9.422545,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,5161.78,0.0,0.0,0.0,983.558,0.0,614.5846,5.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.53079224,5776.3643,0.25
55685,0.0,0.0,2.0,187.7328,byplayer,0.0,0.0,42.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,8534.325,0.0,0.0,0.0,1393.822,0.0,841.4468,2.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,6.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7394281,9375.771,0.375
55791,2.0,0.0,0.0,534.4353,byplayer,0.0,0.0,36.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,3653.2415,0.0,0.0,0.0,1661.827,0.0,1601.3715,3.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,1.0,5254.613,0.125
55813,0.0,0.0,2.0,54.384354,byplayer,1.0,1.0,27.0,0.0,1.0,44.533134,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,5445.463,0.0,0.0,0.0,1224.698,0.0,569.9677,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6777521,6015.4307,0.5625
55884,0.0,0.0,1.0,140.40277,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,845.31915,0.0,0.0,0.0,1398.691,0.0,1083.476,4.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.764312,1928.7952,0.5
55943,2.0,1.0,1.0,123.97386,byplayer,0.0,3.0,18.0,0.0,1.0,99.2614,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,4016.519,0.0,0.0,0.0,1293.508,0.0,792.8204,3.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6969332,4809.3394,0.125
56173,1.0,1.0,2.0,184.13214,byplayer,0.0,3.0,14.0,0.0,2.0,31.408237,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,2250.3613,0.0,0.0,0.0,1286.033,0.0,1281.302,7.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.69590527,3531.6633,0.5625
56222,1.0,0.0,1.0,121.762596,byplayer,0.0,0.0,25.0,0.0,1.0,29.03781,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,7211.547,0.0,0.0,0.0,816.818,0.0,377.91187,3.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.44855464,7589.459,0.8125
56287,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,58.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,1.0,6500.944,0.0,0.0,0.0,1106.81,0.0,614.2385,4.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.65144795,7115.1826,0.875
56531,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,53.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,7645.5127,0.0,0.0,0.0,908.626,0.0,461.19434,4.0,Erangel (Remastered),1744.0,2020-09-26 09:35:43+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.52100116,8106.707,0.8125
57007,0.0,1.0,2.0,193.31659,byplayer,0.0,2.0,60.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,7622.6313,0.0,0.0,0.0,1182.028,0.0,455.72128,2.0,Erangel (Remastered),1782.0,2020-09-25 09:41:44+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.66331536,8078.3525,0.875
57036,0.0,0.0,1.0,0.0,byplayer,0.0,3.0,64.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,753.2049,0.0,101.51028,0.0,412.852,0.0,258.7103,2.0,Erangel (Remastered),1855.0,2020-09-19 11:57:26+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.22256172,1113.4254,1.0
57094,1.0,0.0,0.0,114.60567,byplayer,0.0,0.0,31.0,0.0,1.0,132.47292,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,6197.256,0.0,0.0,0.0,758.283,0.0,481.21814,4.0,Erangel (Remastered),1729.0,2020-09-26 08:53:15+00:00,15.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.4385674,6678.474,0.9375
57176,0.0,0.0,2.0,0.0,byplayer,0.0,13.0,58.0,0.0,0.0,0.0,menteul,account.cf546ffbd7d642b4b98530c40d322633,0.0,9073.99,0.0,0.0,0.0,1026.561,0.0,612.0941,3.0,Miramar,1835.0,2020-09-25 11:10:57+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.5594338,9686.084,0.875
79462,2.0,1.0,2.0,267.48468,byplayer,0.0,7.0,34.0,0.0,0.0,0.0,menteul,account.8f8f5ac7467946999210faef4c2cb44e,0.0,4167.8413,0.0,0.0,0.0,1562.436,0.0,1068.8575,4.0,Erangel (Remastered),1850.0,2020-08-15 10:58:48+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.84456,5236.6987,0.3125
79486,1.0,0.0,2.0,100.00001,byplayer,0.0,0.0,23.0,0.0,1.0,23.741325,menteul,account.573efe08033146d1bb551fee2ccd0a3d,0.0,4579.675,0.0,0.0,0.0,1580.675,0.0,1129.3782,2.0,Miramar,1829.0,2020-08-15 10:01:34+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.86422914,5709.0527,0.375
79546,2.0,1.0,3.0,384.97668,byplayer,0.0,2.0,16.0,0.0,1.0,28.262436,menteul,account.55b24039452c436d95247f5d89921047,0.0,8107.725,0.0,0.0,0.0,1801.466,0.0,1080.5475,5.0,Erangel (Remastered),1806.0,2020-08-14 12:28:38+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.99748945,9188.272,0.125
79634,2.0,1.0,4.0,302.0962,byplayer,0.0,3.0,18.0,0.0,1.0,144.8305,menteul,account.ac17c6da6984449396e2e33f3784d810,0.0,3399.155,0.0,0.0,0.0,1691.825,0.0,1703.7716,4.0,Erangel (Remastered),1782.0,2020-08-01 11:56:09+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.9493967,5102.927,0.25
79689,2.0,0.0,2.0,238.01234,byplayer,0.0,1.0,10.0,0.0,2.0,314.39685,menteul,account.51f1426e76144268aa4b5a89fb9438e5,0.0,4483.4375,0.0,0.0,0.0,1549.636,0.0,1369.1453,3.0,Miramar,1872.0,2020-08-01 09:07:35+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.827797,5852.583,0.4375
79788,1.0,0.0,3.0,31.689995,byplayer,0.0,0.0,62.0,0.0,0.0,0.0,menteul,account.bb1fe3d86ed44882bcc07e4cc39b184e,0.0,6364.4717,0.0,0.0,0.0,788.098,0.0,681.5973,4.0,Erangel (Remastered),1777.0,2020-07-31 12:30:15+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.44349918,7046.069,1.0
79903,1.0,0.0,2.0,258.42523,byplayer,0.0,2.0,11.0,0.0,2.0,21.56003,menteul,account.683616fb9f4947099da8036bbbc0f55d,0.0,4215.6724,0.0,0.0,0.0,1397.748,0.0,842.7336,5.0,Erangel (Remastered),1818.0,2020-08-15 11:49:07+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.7688383,5058.406,0.4375
80029,0.0,0.0,3.0,49.503365,byplayer,0.0,3.0,60.0,0.0,0.0,0.0,menteul,account.51f1426e76144268aa4b5a89fb9438e5,0.0,8222.894,0.0,0.0,0.0,778.964,0.0,496.94675,4.0,Miramar,1661.0,2020-08-01 09:59:58+00:00,15.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.4689729,8719.84,0.9375
80131,1.0,1.0,6.0,35.41662,byplayer,0.0,16.0,15.0,0.0,1.0,76.85471,menteul,account.e3b26650eb444d6d99fd1b4db60dfa34,0.0,4028.9941,0.0,0.0,0.0,1582.892,0.0,882.67365,3.0,Miramar,1798.0,2020-08-07 12:35:22+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.88036263,4911.668,0.25
80212,0.0,0.0,0.0,60.270004,byplayer,0.0,0.0,67.0,0.0,0.0,0.0,menteul,account.a0f1538b8afc452ea08bc99ed1d78ad4,0.0,2351.3477,0.0,0.0,0.0,606.261,0.0,844.104,3.0,Miramar,1658.0,2020-08-08 12:25:54+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.36565802,3195.4517,1.0
80275,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,47.0,0.0,0.0,0.0,menteul,account.bb1fe3d86ed44882bcc07e4cc39b184e,0.0,8318.741,0.0,0.0,0.0,1085.182,0.0,563.3105,4.0,Erangel (Remastered),1783.0,2020-07-31 10:55:45+00:00,8.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.608627,8882.052,0.5
80437,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,59.0,0.0,0.0,0.0,menteul,account.683616fb9f4947099da8036bbbc0f55d,0.0,7854.4526,0.0,0.0,0.0,677.893,0.0,475.3207,3.0,Erangel (Remastered),1726.0,2020-08-15 12:37:31+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.39275378,8329.773,0.875
80553,0.0,1.0,7.0,44.160545,byplayer,1.0,5.0,23.0,0.0,1.0,27.62193,menteul,account.43e645e75de841a1b418888b511c5f91,0.0,4425.4927,0.0,0.0,0.0,1295.392,0.0,1066.3246,2.0,Miramar,1850.0,2020-08-08 10:37:55+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.7002119,5491.8174,0.5625
80600,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,41.0,0.0,0.0,0.0,menteul,account.fee4a6ae7d344aa6bb13905fee815e42,0.0,2373.1353,0.0,0.0,0.0,419.309,0.0,312.49765,3.0,Erangel (Remastered),1872.0,2020-08-08 09:45:58+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.22398984,2685.6328,0.25
80675,1.0,0.0,2.0,99.0,byplayer,0.0,1.0,31.0,0.0,1.0,8.962856,menteul,account.fee4a6ae7d344aa6bb13905fee815e42,0.0,8967.912,0.0,0.0,0.0,1055.796,0.0,497.32333,4.0,Erangel (Remastered),1664.0,2020-08-08 09:02:54+00:00,14.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.6344928,9465.235,0.875
80743,0.0,0.0,7.0,76.76293,byplayer,0.0,3.0,19.0,0.0,1.0,253.96353,menteul,account.db53fa09cf1a4abb8892c8010d0c2164,0.0,7577.5283,0.0,0.0,0.0,1492.275,1.0,1165.5515,6.0,Miramar,1779.0,2020-08-07 10:43:15+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.838828,8743.08,0.375
80793,1.0,0.0,2.0,132.80774,byplayer,0.0,0.0,34.0,0.0,0.0,0.0,menteul,account.ac17c6da6984449396e2e33f3784d810,0.0,2298.1248,0.0,0.0,0.0,1480.053,0.0,603.0534,2.0,Erangel (Remastered),1610.0,2020-08-01 11:06:42+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.91928756,2901.1782,0.125
80872,1.0,0.0,3.0,22.787354,byplayer,0.0,2.0,45.0,0.0,0.0,0.0,menteul,account.bb1fe3d86ed44882bcc07e4cc39b184e,0.0,4479.45,0.0,0.0,0.0,1257.35,0.0,966.9601,6.0,Erangel (Remastered),1698.0,2020-07-31 11:45:37+00:00,10.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.74048877,5446.41,0.625
80957,2.0,0.0,2.0,238.75615,byplayer,0.0,1.0,19.0,0.0,1.0,28.041414,menteul,account.a0f1538b8afc452ea08bc99ed1d78ad4,0.0,2613.85,0.0,0.0,0.0,1700.745,0.0,1516.0825,4.0,Miramar,1834.0,2020-08-08 11:39:36+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.9273419,4129.9326,0.3125
81075,0.0,0.0,3.0,99.549805,byplayer,0.0,1.0,22.0,0.0,1.0,198.57164,menteul,account.81eb443968e44bcd9c5d908367fa3698,0.0,2518.472,0.0,0.0,0.0,1475.847,0.0,1117.0897,3.0,Miramar,1767.0,2020-08-14 10:01:28+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.83522755,3635.5615,0.375
81137,1.0,0.0,6.0,287.90753,byplayer,1.0,11.0,4.0,0.0,3.0,79.164856,menteul,account.db53fa09cf1a4abb8892c8010d0c2164,2.0,6783.733,0.0,2.8951375,0.0,1850.908,0.0,2400.8088,6.0,Erangel (Remastered),1852.0,2020-08-07 09:03:16+00:00,3.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.99941033,9187.437,0.1875
81203,0.0,0.0,6.0,0.0,byplayer,0.0,5.0,43.0,0.0,0.0,0.0,menteul,account.ac17c6da6984449396e2e33f3784d810,0.0,6966.3164,0.0,0.0,0.0,1240.4,0.0,1697.5852,8.0,Erangel (Remastered),1673.0,2020-08-01 12:41:52+00:00,9.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.7414226,8663.901,0.5625
81308,0.0,1.0,4.0,319.19812,byplayer,0.0,2.0,54.0,0.0,0.0,0.0,menteul,account.9d015912f21f4cda8a797a7f4f62ccc0,0.0,7495.78,0.0,0.0,0.0,1160.25,0.0,903.81085,4.0,Miramar,1819.0,2020-07-31 09:07:12+00:00,13.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.63785046,8399.591,0.8125
