,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54920,1.0,3.0,2.0,330.94324,byplayer,0.0,2.0,10.0,0.0,2.0,34.60728,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,2185.3508,0.0,0.0,0.0,1481.267,0.0,1251.9835,3.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.8019854,3437.3345,0.125
55339,3.0,2.0,2.0,282.3361,byplayer,1.0,1.0,5.0,0.0,3.0,211.17758,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,2953.946,0.0,0.0,0.0,1414.825,0.0,1739.0579,5.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.86586595,4693.004,0.125
55407,1.0,1.0,3.0,97.13059,byplayer,0.0,3.0,41.0,0.0,0.0,0.0,wick2d,account.a58f99d89e814dc3801072183dede347,2.0,4115.997,0.0,0.0,0.0,1322.15,0.0,1368.2097,6.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,8.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.71544915,5484.207,0.5
55612,0.0,0.0,1.0,76.31997,byplayer,0.0,0.0,63.0,0.0,0.0,0.0,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,7757.412,0.0,0.0,0.0,1004.875,0.0,556.9483,4.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.6222136,8314.36,1.0
56318,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,50.0,0.0,0.0,0.0,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,3118.5913,0.0,0.0,0.0,810.131,0.0,583.4059,4.0,Erangel (Remastered),1790.0,2020-10-10 10:37:31+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.45258713,3701.997,0.625
56417,0.0,0.0,2.0,68.53222,byplayer,0.0,0.0,54.0,0.0,0.0,0.0,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,5488.8867,0.0,0.0,0.0,1069.492,0.0,1066.3827,2.0,Erangel (Remastered),1858.0,2020-10-09 10:32:08+00:00,12.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.57561463,6555.2695,0.75
56497,2.0,0.0,1.0,112.369995,byplayer,0.0,2.0,34.0,0.0,1.0,3.3085968,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,1746.1776,0.0,0.0,0.0,860.137,0.0,702.43396,4.0,Miramar,1778.0,2020-10-09 08:53:09+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.48376662,2448.6116,1.0
56813,2.0,1.0,1.0,188.0,byplayer,0.0,1.0,19.0,0.0,1.0,37.181015,wick2d,account.a58f99d89e814dc3801072183dede347,1.0,4598.266,0.0,0.0,0.0,1593.285,0.0,1413.5709,3.0,Miramar,1839.0,2020-10-10 09:48:42+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.86638665,6011.837,0.3125
56834,2.0,1.0,2.0,324.5937,byplayer,1.0,4.0,12.0,0.0,2.0,294.06024,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,1292.1633,0.0,0.0,0.0,1378.988,0.0,2066.693,5.0,Miramar,1867.0,2020-10-10 08:58:32+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.7386117,3358.8564,0.25
56884,0.0,0.0,3.0,0.0,byplayer,0.0,1.0,46.0,0.0,0.0,0.0,wick2d,account.a58f99d89e814dc3801072183dede347,0.0,9915.59,0.0,0.0,0.0,953.628,0.0,854.17554,4.0,Erangel (Remastered),1711.0,2020-10-09 12:02:19+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,vsg,0.55735123,10769.766,0.625
79461,3.0,2.0,3.0,454.6539,byplayer,1.0,4.0,3.0,0.0,4.0,204.0117,wick2d,account.ba17f7ee7e2a43f4b098fec7285258b7,1.0,3316.8877,0.0,0.0,0.0,1574.922,0.0,1453.6334,8.0,Erangel (Remastered),1850.0,2020-08-15 10:58:48+00:00,5.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.8513092,4770.521,0.3125
79484,1.0,0.0,3.0,188.45486,byplayer,0.0,2.0,21.0,0.0,1.0,69.58332,wick2d,account.2f4d65c7d304488eac8d6adc5bc5a27e,1.0,3909.9922,0.0,0.0,0.0,1700.695,0.0,1235.4442,4.0,Miramar,1829.0,2020-08-15 10:01:34+00:00,6.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.9298496,5145.4365,0.375
79545,3.0,1.0,7.0,485.31268,byplayer,0.0,5.0,4.0,0.0,3.0,153.35548,wick2d,account.42316f6ea01f4ad6be0dce59f85b6e6e,1.0,7349.74,0.0,0.0,0.0,1806.616,0.0,2107.4316,5.0,Erangel (Remastered),1806.0,2020-08-14 12:28:38+00:00,2.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,1.0,9457.172,0.125
79632,1.0,0.0,5.0,281.175,byplayer,0.0,7.0,20.0,0.0,1.0,56.983654,wick2d,account.c1e7212f2d6046dc9901c40554f2c4a3,0.0,3658.4373,0.0,0.0,0.0,1328.325,0.0,1058.1045,3.0,Erangel (Remastered),1782.0,2020-08-01 11:56:09+00:00,4.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.7454124,4716.542,0.25
79691,2.0,1.0,5.0,280.27356,byplayer,0.0,6.0,11.0,0.0,2.0,28.707125,wick2d,account.70c5eb714eaf4a7bb801d76ead15f33e,0.0,3591.3215,0.0,0.0,0.0,1549.207,0.0,1680.6757,3.0,Miramar,1872.0,2020-08-01 09:07:35+00:00,7.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.8275679,5271.997,0.4375
79789,1.0,0.0,1.0,141.1142,byplayer,0.0,0.0,30.0,0.0,1.0,16.157623,wick2d,account.8ca9f3b22b0c4393b690ba53ea430198,0.0,5251.8413,0.0,0.0,0.0,788.08,0.0,1231.9875,5.0,Erangel (Remastered),1777.0,2020-07-31 12:30:15+00:00,16.0,False,as-pcs2kr,2020-07-23 09:32:09+00:00,vsg,0.44348904,6483.829,1.0
