,dbnos,assists,boosts,damage_dealt,death_type,headshot_kills,heals,kill_place,kill_streaks,kills,longest_kill,name,player_id,revives,ride_distance,road_kills,swim_distance,team_kills,time_survived,vehicle_destroys,walk_distance,weapons_acquired,match_mapName,match_duration,match_createdAt,roster_rank,roster_won,tournament_id,tournament_createdAt,team_name,relative_time_survived,total_distance,relative_rank
54956,0.0,0.0,0.0,57.96,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,3812.6633,0.0,0.0,0.0,839.51,0.0,833.51404,4.0,Miramar,1847.0,2020-10-09 09:42:07+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.45452628,4646.1772,0.875
54994,1.0,5.0,6.0,368.39688,alive,2.0,3.0,2.0,0.0,4.0,203.93011,pio,account.061986001a9d4609899b0805c327ed04,0.0,2923.2524,0.0,0.0,0.0,1551.815,0.0,2247.3193,6.0,Miramar,1551.0,2020-09-26 10:20:44+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,1.0,5170.572,0.0625
55081,0.0,1.0,2.0,57.98288,byplayer,0.0,0.0,38.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,9462.171,0.0,0.0,0.0,1163.637,0.0,1100.3906,5.0,Miramar,1801.0,2020-09-25 10:28:20+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.646106,10562.562,0.1875
55125,4.0,2.0,4.0,549.7543,byplayer,2.0,0.0,1.0,0.0,5.0,77.8382,pio,account.061986001a9d4609899b0805c327ed04,1.0,3385.6943,0.0,0.0,0.0,1466.011,0.0,2285.837,5.0,Erangel (Remastered),1858.0,2020-09-19 11:13:26+00:00,3.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7890264,5671.5312,0.1875
55197,1.0,2.0,1.0,186.4351,byplayer,0.0,3.0,27.0,0.0,1.0,49.488754,pio,account.061986001a9d4609899b0805c327ed04,0.0,6654.7676,0.0,0.0,0.0,1193.554,1.0,1020.5568,7.0,Erangel (Remastered),1848.0,2020-09-19 10:27:38+00:00,11.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.6458625,7675.324,0.6875
55234,3.0,0.0,4.0,622.4113,byplayer,3.0,3.0,1.0,0.0,5.0,53.86066,pio,account.061986001a9d4609899b0805c327ed04,0.0,6150.073,0.0,0.0,0.0,1603.927,0.0,1584.0262,4.0,Erangel (Remastered),1875.0,2020-09-18 10:27:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.85542774,7734.0996,0.4375
55294,1.0,0.0,2.0,213.37885,byplayer,0.0,0.0,26.0,0.0,1.0,89.26635,pio,account.061986001a9d4609899b0805c327ed04,0.0,1513.2378,0.0,0.0,0.0,1062.378,0.0,1826.3899,4.0,Erangel (Remastered),1634.0,2020-10-10 11:23:06+00:00,9.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.65017015,3339.6277,0.5625
55404,0.0,1.0,2.0,20.699999,byplayer,0.0,0.0,57.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,4757.5444,0.0,0.0,0.0,999.575,0.0,1487.2853,7.0,Erangel (Remastered),1848.0,2020-10-09 11:17:11+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.5408956,6244.8296,0.875
55455,0.0,0.0,0.0,0.0,byplayer,0.0,0.0,58.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,1675.6273,0.0,0.0,0.0,233.753,0.0,145.25182,3.0,Miramar,1738.0,2020-09-25 11:55:27+00:00,14.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.1344954,1820.8792,0.875
55501,1.0,1.0,2.0,35.234978,byplayer,0.0,0.0,48.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,1.0,4659.631,0.0,0.0,0.0,975.41,0.0,1501.317,5.0,Erangel (Remastered),1853.0,2020-09-18 11:55:11+00:00,10.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.526395,6160.9478,0.625
55639,1.0,0.0,3.0,177.05457,byplayer,0.0,7.0,26.0,0.0,1.0,72.96045,pio,account.061986001a9d4609899b0805c327ed04,0.0,9320.992,0.0,0.0,0.0,1120.976,0.0,1025.7906,6.0,Erangel (Remastered),1615.0,2020-10-10 12:06:16+00:00,13.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.69410276,10346.783,0.8125
55694,0.0,0.0,2.0,0.0,byplayer,0.0,0.0,65.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,6469.7476,0.0,0.0,0.0,907.41,0.0,808.25287,6.0,Miramar,1885.0,2020-09-26 11:42:20+00:00,16.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.4813846,7278.0005,1.0
55772,2.0,3.0,4.0,451.49197,alive,0.0,4.0,6.0,0.0,2.0,201.821,pio,account.061986001a9d4609899b0805c327ed04,0.0,1479.619,0.0,0.0,0.0,1661.984,0.0,1883.653,5.0,Miramar,1661.0,2020-09-26 11:01:03+00:00,1.0,True,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,1.0,3363.272,0.0625
55838,0.0,2.0,7.0,201.63641,byplayer,0.0,1.0,3.0,0.0,3.0,118.96602,pio,account.061986001a9d4609899b0805c327ed04,0.0,7613.672,0.0,0.0,0.0,1498.035,0.0,2378.5999,4.0,Erangel (Remastered),1807.0,2020-09-18 11:10:57+00:00,2.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.8290177,9992.271,0.125
55889,2.0,2.0,8.0,387.95306,byplayer,0.0,3.0,12.0,0.0,2.0,71.0314,pio,account.061986001a9d4609899b0805c327ed04,0.0,2312.0796,0.0,0.0,0.0,1649.327,0.0,2879.7446,6.0,Miramar,1830.0,2020-09-18 09:39:00+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.9012716,5191.824,0.3125
55965,5.0,0.0,8.0,877.2387,byplayer,0.0,11.0,9.0,0.0,3.0,66.40304,pio,account.061986001a9d4609899b0805c327ed04,0.0,2379.2314,0.0,0.0,0.0,1742.494,0.0,2613.6702,5.0,Miramar,1856.0,2020-09-18 08:55:14+00:00,5.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.9388438,4992.9014,0.3125
56129,3.0,0.0,4.0,316.70462,byplayer,0.0,0.0,6.0,0.0,3.0,155.58997,pio,account.061986001a9d4609899b0805c327ed04,1.0,4496.7485,0.0,0.0,0.0,1370.961,0.0,2444.4995,3.0,Erangel (Remastered),1848.0,2020-09-25 08:56:07+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.74186206,6941.248,0.4375
56214,1.0,2.0,6.0,111.1231,byplayer,0.0,4.0,21.0,0.0,1.0,178.65695,pio,account.061986001a9d4609899b0805c327ed04,0.0,3350.5337,0.0,0.0,0.0,1450.104,0.0,1596.1445,5.0,Miramar,1821.0,2020-09-19 09:39:44+00:00,7.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.7963229,4946.678,0.4375
56244,1.0,0.0,3.0,165.34807,byplayer,0.0,9.0,38.0,0.0,0.0,0.0,pio,account.061986001a9d4609899b0805c327ed04,0.0,2241.9812,0.0,0.0,0.0,1416.299,1.0,1200.0903,5.0,Miramar,1699.0,2020-09-19 08:58:35+00:00,4.0,False,as-pcs3kr,2020-09-10 09:30:46+00:00,gen,0.8336074,3442.0715,0.25
